,StationID,StationName,StationLatLon
0,1299,200 River St Outdoor Chattanooga,
1,1319,100 Walnut St,
2,1327,ML King Blvd & Lindsay St,
3,1343,Broad St & W 4th St,
4,1349,1216 Broad St,
5,1297,100 Manufacturers Rd,
6,1315,Carter St & W 12th St,
7,1353,500 Georgia Ave,
8,1303,215 Broad St,
9,1373,Hubert Fry Center Tennessee Riverpark,
10,1313,Chestnut St & Riverfront Pkwy,
11,1311,Market St & Cowart St,
12,1333,800 E 8th St,
13,1305,Market St & E 14th St,
14,1307,Market & E 4th Street,
15,1341,E Main St & Rossville Ave,
16,1321,High St & E 2nd St,
17,1325,Market St & ML King Blvd,
18,1323,Power Alley & Riverfront Pkwy,
19,1363,Broad St & W 10th St,
20,1351,1826 Carter St,
21,1335,Oak St & University Greenway,
22,1317,Broad St & W 6th St,
23,1347,W Main St & Cowart St,
24,1369,Douglas St,
25,1345,Broad St & W 8th St,
26,1309,Market St & W 12th St,
27,1421,Pine St. & W. 6th St.,
28,1337,Oak St & Houston St,
29,1331,E 5th St & Collins St,
30,1301,301 Manufacturers Rd,
31,1420,SpringHill Suites,
32,1329,McCallie Ave & Lindsay St,
33,1426,LN1,
34,1419,Alex7,
35,1428,PBSCTEST,
36,1361,NYC1,
37,1355,Naesta1,
